zip5,po_name,primary_ruca,secondary_ruca,ruca_category
32656,Keystone Heights,7,7,rural
32658,La Crosse,2,2,urban
32662,Lochloosa,2,2,urban
32663,Lowell,2,2,urban
32664,Mc Intosh,2,2,urban
32666,Melrose,2,2,urban
32667,Micanopy,2,2,urban
32668,Morriston,2,2,urban
32669,Newberry,2,2,urban
32680,Old Town,10,10,ultra_rural
32681,Orange Lake,2,2,urban
32683,Otter Creek,10,10,ultra_rural
32686,Reddick,2,2,urban
32692,Suwannee,10,10,ultra_rural
32693,Trenton,2,2,urban
32694,Waldo,2,2,urban
32696,Williston,2,2,urban
32697,Worthington Springs,3,3,urban
32701,Altamonte Springs,1,1,urban
32702,Altoona,2,2,urban
32703,Apopka,1,1,urban
32704,Apopka,1,1,urban
32706,Cassadaga,1,1,urban
32707,Casselberry,1,1,urban
32708,Winter Springs,1,1,urban
32709,Christmas,2,2,urban
32710,Clarcona,1,1,urban
32712,Apopka,1,1,urban
32713,Debary,1,1,urban
32714,Altamonte Springs,1,1,urban
32715,Altamonte Springs,1,1,urban
32716,Altamonte Springs,1,1,urban
32718,Casselberry,1,1,urban
32719,Winter Springs,1,1,urban
32720,Deland,1,1,urban
32721,Deland,1,1,urban
32722,Glenwood,1,1,urban
32723,Deland,1,1,urban
32724,Deland,1,1,urban
32725,Deltona,1,1,urban
32726,Eustis,1,1,urban
32727,Eustis,1,1,urban
32728,Deltona,1,1,urban
32730,Casselberry,1,1,urban
32732,Geneva,2,2,urban
32733,Goldenrod,1,1,urban
32735,Grand Island,1,1,urban
32736,Eustis,2,2,urban
32738,Deltona,1,1,urban
32739,Deltona,1,1,urban
32744,Lake Helen,1,1,urban
32745,Mid Florida,1,1,urban
32746,Lake Mary,1,1,urban
32747,Lake Monroe,1,1,urban
32750,Longwood,1,1,urban
32751,Maitland,1,1,urban
32752,Longwood,1,1,urban
32753,Debary,1,1,urban
32754,Mims,1,1.1,urban
32756,Mount Dora,1,1,urban
32757,Mount Dora,1,1,urban
32759,Oak Hill,1,1,urban
32762,Oviedo,1,1,urban
32763,Orange City,1,1,urban
32764,Osteen,2,2,urban
32765,Oviedo,1,1,urban
32766,Oviedo,1,1,urban
32767,Paisley,2,2,urban
32768,Plymouth,1,1,urban
32771,Sanford,1,1,urban
32772,Sanford,1,1,urban
32773,Sanford,1,1,urban
32774,Orange City,1,1,urban
